week_start,run_date,banner,product_id,brand,title,package_size,unit_price,unit_price_basis,price,was_price,deal_type,deal_text,deal_expiry,url
4/9/2026,4/10/2026,Real Canadian Superstore,21021224_EA,Green Giant,"Corn Niblets, Whole Kernel",341 ml,0.58,100ml,1.99,,,,,https://www.realcanadiansuperstore.ca/en/corn-niblets-whole-kernel/p/21021224_EA
4/9/2026,4/10/2026,Real Canadian Superstore,21677467_EA,Tropicana,100% Fresh Pressed Juice Apple Juice,1.36 l,0.43,100ml,5.79,,,,,https://www.realcanadiansuperstore.ca/en/100-fresh-pressed-juice-apple-juice/p/21677467_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20637355_EA,Quaker,Life Original Cereal,450 g,0.78,100g,3.50,5.29,SALE,SAVE $1.79,4/15/2026,https://www.realcanadiansuperstore.ca/en/life-original-cereal/p/20637355_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20698133_EA,President's Choice,Chicken Spring Rolls,574 g,1.74,100g,10.00,,,,,https://www.realcanadiansuperstore.ca/en/chicken-spring-rolls/p/20698133_EA
4/9/2026,4/10/2026,Real Canadian Superstore,21511747_EA,Kelloggs,Eggo Thick & Fluffy Waffles Original,330 g,1.3,100g,4.29,,,,,https://www.realcanadiansuperstore.ca/en/eggo-thick-fluffy-waffles-original/p/21511747_EA
4/9/2026,4/10/2026,Real Canadian Superstore,21715576_EA,Softsoap,Refill Hand Soap,1.47 l,0.51,100ml,7.49,,,,,https://www.realcanadiansuperstore.ca/en/refill-hand-soap/p/21715576_EA
4/9/2026,4/10/2026,Real Canadian Superstore,21191830_EA,Janes,"Pub Style Chicken Nugget, Fully Cooked",700 g,1.86,100g,13.00,,,,,https://www.realcanadiansuperstore.ca/en/pub-style-chicken-nugget-fully-cooked/p/21191830_EA
4/9/2026,4/10/2026,Real Canadian Superstore,21438999_EA,Nissin,Instant Noodle With Soup Base Demae Ramen Sesame Oil Flavour,500 g,0.96,100g,4.79,,,,,https://www.realcanadiansuperstore.ca/en/instant-noodle-with-soup-base-demae-ramen-sesame-o/p/21438999_EA
4/9/2026,4/10/2026,Real Canadian Superstore,21186207_EA,Cashmere,"Soft & Thick Toilet Paper, 24 Double Rolls = 48 Single Rolls",1 ea,0.58,1ea,13.99,,,,,https://www.realcanadiansuperstore.ca/en/soft-thick-toilet-paper-24-double-rolls-48-single/p/21186207_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20801988_KG,President's Choice,Certified Angus Beef Grilling Ribeye Steak Boneless,$72.73/1kg $33.00/1lb,,,24.07,,,,,https://www.realcanadiansuperstore.ca/en/certified-angus-beef-grilling-ribeye-steak-boneles/p/20801988_KG
